x_image	y_image	clusters	TABULA_MURIS_SENIS_BRAIN_MYELOID_MICROGLIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ASTROCYTE_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_ENDOTHELIAL_CELL_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_NEURON_AGEING	TABULA_MURIS_SENIS_BRAIN_NON_MYELOID_OLIGODENDROCYTE_AGEING
18880	17908	1	0	100	0	100	100
21916	10078	7	0	0	0	0	0
9295	10852	8	0	100	0	100	100
11323	8325	6	100	0	100	100	100
14530	19934	14	0	100	0	100	100
16697	12610	11	100	0	100	100	100
22362	17904	1	0	100	0	100	100
21203	19420	1	0	100	0	100	100
21634	15633	9	0.201	0	0.201	0.201	0.201
14952	10088	3	0	0	0	0	0
22938	14874	9	5.85	93.949	5.85	99.799	99.799
14234	15390	10	100	0	100	100	100
20622	18916	5	0.001	94.115	0.001	94.116	94.116
9147	8581	4	0	100	0	100	100
12788	18926	14	0	100	0	100	100
18870	10335	2	100	0	100	100	99.611
19161	10839	2	100	0	100	100	100
18009	17909	10	0	100	0	100	100
21921	13613	15	99.974	0	99.978	99.98	99.974
15242	9582	7	100	0	100	100	100
20614	12352	7	100	0	100	100	100
13357	10342	16	0	0	0	0	0
21344	16138	9	55.363	0	55.363	55.363	55.363
15253	18166	5	0	0	0	0	0
12635	13120	6	99.611	0.389	99.611	100	100
13650	12866	3	100	0	100	100	100
17719	17910	5	0	99.951	0	99.951	99.951
18876	14879	12	100	0	100	100	100
21920	12603	13	100	0	100	100	100
9726	7570	0	0	100	0	100	100
22507	17651	1	0.002	99.803	0.002	99.804	99.805
18302	19929	1	0	100	0	100	100
10019	9589	0	0	49.805	0	49.805	49.805
11331	14384	0	0	99.994	0	99.994	99.994
8864	14135	15	0	0	100	100	0
14674	19176	4	0	100	0	100	100
8278	10096	15	0	0	100	100	0
9725	6560	3	0	100	0	100	100
14962	17661	0	0	0	0	0	0
9735	14134	4	0	100	0	100	100
19601	14626	13	100	0	100	100	100
21636	17147	1	0	0	0	0	0
8717	12368	4	0	100	0	100	100
18592	19928	1	0	100	0	100	100
19161	11344	2	33.327	0	33.327	99.98	33.327
15400	19428	8	0	100	0	100	100
15395	15388	10	100	0	100	100	100
18579	9830	2	100	0	100	100	100
14528	18419	8	0	100	0	100	100
22355	12350	7	100	0	100	100	100
18589	17404	10	0	100	0	100	100
12931	17664	8	0	100	0	100	100
16265	15387	6	100	0	100	100	100
20329	16392	9	0	0	0	0	0
14670	15642	10	0.006	99.994	0.006	100	99.994
10889	9588	0	0	99.997	0	99.997	99.997
11324	9335	6	100	0	100	100	100
11042	15394	8	0	100	0	100	100
17286	19173	5	0	0	0	0	0
15971	12358	11	100	0	100	100	100
11618	11859	6	100	0	100	100	100
18590	18414	5	0	0.049	0	0.049	0.049
18728	12607	11	100	0	100	100	100
11178	8073	0	100	0	100	100	100
21348	19167	1	0	99.988	0	99.988	99.988
14817	17409	5	0	99.225	0	99.225	99.225
14816	16399	10	0.049	99.951	0.049	100	100
18158	20686	15	0	0	0	0	0
9154	14134	4	0	100	0	100	100
23230	15883	9	0	39.506	0	39.506	39.506
23521	16387	9	0	99.997	0	99.997	99.997
15100	12359	2	0.775	0	0.775	0.775	0.775
9155	14639	14	0	100	0	100	100
16407	12610	11	100	0	100	100	100
9441	11610	8	0	100	0	100	100
16841	12357	2	100	0	100	100	100
10885	6559	0	0	20	0	20	20
18296	14880	12	100	0	100	100	100
23376	16640	9	0	99.998	0	99.998	99.998
23523	18407	1	0	100	0	100	100
19317	19170	6	100	0	100	100	0
10306	7064	0	0	99.951	0	99.951	99.951
15096	8825	7	0.008	0	0.001	0.001	0.001
15826	12611	11	100	0	100	100	100
12201	14383	0	0	0	0	0	0
21048	11594	7	0	0	0	0	0
17860	14628	12	100	0	100	100	100
22353	10835	7	100	0	100	100	100
10752	15395	8	0	100	0	100	100
11911	13878	0	0	3.03	0	3.03	3.03
18586	14879	12	100	0	100	100	100
16990	15134	6	100	0	100	100	100
18580	10335	2	100	0	100	100	100
12059	16655	8	0	100	0	100	100
9733	13124	4	0	100	0	100	100
19885	10081	2	100	0	100	100	100
23375	16135	9	0	99.95	0	99.95	99.95
8860	11105	4	0	100	0	100	100
20321	10333	2	100	0	100	100	100
9148	9085	4	0	100	0	100	100
20329	16897	1	0	0	0	0	0
10164	9841	0	0	0	0	0	0
9587	12367	8	0	100	0	100	100
10743	8326	0	0	0.001	0	0.001	0.001
15546	20185	4	0	100	0	100	100
11903	8324	6	100	0	100	100	100
17708	9327	2	88.889	0	88.889	94.444	88.889
21349	19672	1	0	0	0	0	0
21345	16643	1	0	0	0	0	0
19891	14625	13	100	0	100	100	100
8427	12368	15	0	100	0	100	100
12061	18170	4	0	100	0	100	100
16695	11600	2	100	0	100	100	100
21772	10836	7	0	0	0	0	0
13949	19429	4	0	100	0	100	100
21197	14876	9	96.15	3.645	96.15	96.878	3.648
18584	13365	11	100	0	100	100	100
18883	20433	14	0	100	0	100	100
9583	9337	8	0	100	0	100	100
16549	10338	2	99.201	0.024	99.201	99.225	99.225
12058	15645	0	0	0	0	0	0
18732	15636	12	100	0	100	100	100
19892	15130	12	100	0	100	100	100
13798	15138	6	100	0	100	100	100
19314	16645	10	0.039	4.752	0.039	4.771	4.789
10318	16657	15	0	0	100	100	0
9146	7571	14	0	100	0	100	100
12488	11353	3	67.01	32.99	67.01	100	100
14370	8574	3	100	100	100	100	100
18442	15637	12	100	0	100	100	99.902
14371	9079	3	99.953	0	99.953	100	99.953
17274	10085	2	100	0	100	100	100
18445	18161	5	0	0.049	0	0.049	0.049
14964	18671	8	0	100	0	100	100
17419	10337	2	99.482	0	99.482	99.482	66.321
20188	19674	1	0	99.988	0	99.988	99.988
15682	13368	12	100	0	100	100	100
9009	13882	4	0	100	0	100	100
10605	14132	8	0	100	0	100	100
20624	20430	15	0	0	100	100	0
16258	10338	2	0	100	0	100	100
9877	12366	8	0	100	0	100	100
9725	7065	0	0	100	0	100	100
21493	19420	1	0	98.462	0	98.462	98.462
17134	14376	12	100	0	100	100	100
